system,davidson_iteration,state_rule,state_index,corrected_epsilon,residual_norm,rho_deflated,lambda_min_deflated,damping_factor,cg_status,cg_iters,n_subspace,X_orthonormality_error,krylov_dim,commit
water_cluster_128,10,homo,511,-0.37229925515379286,0.030297405703165994,0.9223540438296977,-0.8133305222561958,0.09333473887190208,converged,45,614,8.288953145310212e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
water_cluster_128,15,homo,511,-0.3722682106330561,0.0008740999077718378,0.92233449332177,-0.8133200097610389,0.09333999511948055,converged,44,614,1.2712747666049611e-14,40,765711d0afc1561e55721eddca68a37cbbeeb54f
water_cluster_128,5,lowest,0,-1.1597404864805583,0.1552533859428372,1.101215491112693,-1.101215491112693,0.050607745556346506,converged,48,614,6.217248937900877e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
water_cluster_128,10,lowest,0,-1.1590299078055755,0.0032183927153591643,1.10095170230415,-1.10095170230415,0.05047585115207498,converged,47,614,8.288953145310212e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
water_cluster_128,15,lowest,0,-1.1590295474761658,9.304256345881335e-05,1.1009516444780938,-1.1009516444780938,0.0504758222390469,converged,47,614,1.2712747666049611e-14,40,765711d0afc1561e55721eddca68a37cbbeeb54f
water_cluster_128,5,middle,256,-0.5310764761495237,0.5245274609810353,0.9242933865087751,-0.868022977440942,0.06598851127952898,converged,51,614,6.217248937900877e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
water_cluster_128,10,middle,256,-0.5403235777613087,0.015802911005736758,0.9215529581776291,-0.8712685206880001,0.06436573965599995,converged,45,614,8.288953145310212e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
water_cluster_128,15,middle,256,-0.5403159439119634,0.000500965846798058,0.9215371985430435,-0.8712658797616157,0.06436706011919213,converged,44,614,1.2712747666049611e-14,40,765711d0afc1561e55721eddca68a37cbbeeb54f
water_cluster_128,5,slowest,482,-0.3082718409902151,0.6719840763462372,0.9479634351262359,-0.7917168196579242,0.10414159017103791,converged,68,614,6.217248937900877e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
water_cluster_128,10,slowest,611,0.007545506101774154,0.07510165882012743,1.0144310010705841,-0.6888443246430768,0.15557783767846162,"negative_curvature(it=9, pAp=-7.957e+00)",9,614,8.288953145310212e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
water_cluster_128,15,slowest,613,0.0034600773005591897,0.04814385817653371,1.0076001032511195,-0.6901369766501237,0.15493151167493813,"negative_curvature(it=8, pAp=-1.015e-02)",8,614,1.2712747666049611e-14,40,765711d0afc1561e55721eddca68a37cbbeeb54f
